espn_id,name,team,position,points
1,Lamar Jackson,BAL,QB,338.1
2,Christian McCaffrey,CAR,RB,333.9
3,Patrick Mahomes,KC,QB,332.3
4,Deshaun Watson,HOU,QB,314.1
5,Dak Prescott,DAL,QB,301.7
6,Michael Thomas,NO,WR,301.4
7,Ezekiel Elliott,DAL,RB,300.7
8,Kyler Murray,ARI,QB,297.9
9,Russell Wilson,SEA,QB,294.1
10,Saquon Barkley,NYG,RB,292.3
11,Dalvin Cook,MIN,RB,291.7
12,Tom Brady,TB,QB,291.2
13,Alvin Kamara,NO,RB,290.4
14,Matt Ryan,ATL,QB,282.5
15,Matthew Stafford,DET,QB,268.8
16,Carson Wentz,PHI,QB,268.4
17,Drew Brees,NO,QB,267.9
18,Josh Allen,BUF,QB,266.3
19,Aaron Rodgers,GB,QB,265.8
20,DeAndre Hopkins,ARI,WR,255.3
21,Daniel Jones,NYG,QB,254.7
22,Julio Jones,ATL,WR,253.9
23,Kenyan Drake,ARI,RB,253.2
24,Chris Godwin,TB,WR,251.8
25,Travis Kelce,KC,TE,251.3
26,Derrick Henry,TEN,RB,250.7
27,Davante Adams,GB,WR,249.4
28,Aaron Jones,GB,RB,249.2
29,Tyreek Hill,KC,WR,249.2
30,Mike Evans,TB,WR,249.1
31,Jared Goff,LAR,QB,243.6
32,Ben Roethlisberger,PIT,QB,240
33,Ryan Tannehill,TEN,QB,238.8
34,Austin Ekeler,LAC,RB,237.6
35,Baker Mayfield,CLE,QB,235.7
36,Nick Chubb,CLE,RB,235
37,Jimmy Garoppolo,SF,QB,232.9
38,Josh Jacobs,LV,RB,232.8
39,Joe Burrow,CIN,QB,232.8
40,George Kittle,SF,TE,231.8
41,Kirk Cousins,MIN,QB,230
42,Adam Thielen,MIN,WR,230
43,Philip Rivers,IND,QB,229.3
44,DJ Moore,CAR,WR,229.1
45,Joe Mixon,CIN,RB,228.8
46,Gardner Minshew II,JAX,QB,228.5
47,Miles Sanders,PHI,RB,227.7
48,Drew Lock,DEN,QB,226.3
49,Kenny Golladay,DET,WR,224.8
50,Chris Carson,SEA,RB,224.4
51,JuJu Smith-Schuster,PIT,WR,223.9
52,Allen Robinson II,CHI,WR,223.8
53,Amari Cooper,DAL,WR,222.5
54,Robert Woods,LAR,WR,222.2
55,Todd Gurley II,ATL,RB,221.2
56,David Johnson,HOU,RB,220.3
57,Calvin Ridley,ATL,WR,220.1
58,Courtland Sutton,DEN,WR,220
59,Sam Darnold,NYJ,QB,219.4
60,Leonard Fournette,JAX,RB,218.6
61,Tyler Lockett,SEA,WR,218.4
62,Odell Beckham Jr.,CLE,WR,216.1
63,Cam Newton,NE,QB,215.9
64,A.J. Brown,TEN,WR,215.5
65,Cooper Kupp,LAR,WR,215.2
66,Terry McLaurin,WSH,WR,212.3
67,Le'Veon Bell,NYJ,RB,212.3
68,Keenan Allen,LAC,WR,211.7
69,T.Y. Hilton,IND,WR,211.4
70,Dwayne Haskins Jr.,WSH,QB,210.6
71,Jarvis Landry,CLE,WR,208.9
72,Derek Carr,LV,QB,208.4
73,DJ Chark Jr.,JAX,WR,205.1
74,Teddy Bridgewater,CAR,QB,204.8
75,DeVante Parker,MIA,WR,203.8
76,DK Metcalf,SEA,WR,202.1
77,Melvin Gordon,DEN,RB,201.5
78,Zach Ertz,PHI,TE,201.2
79,Mark Andrews,BAL,TE,199.4
80,Clyde Edwards-Helaire,KC,RB,199.3
81,Michael Gallup,DAL,WR,198.9
82,Marvin Jones Jr.,DET,WR,195.4
83,Tyler Boyd,CIN,WR,194.8
84,Darren Waller,LV,TE,192
85,A.J. Green,CIN,WR,191.6
86,Sterling Shepard,NYG,WR,190.6
87,Tua Tagovailoa,MIA,QB,190.5
88,Marquise Brown,BAL,WR,190.2
89,Jamison Crowder,NYJ,WR,187.3
90,Stefon Diggs,BUF,WR,187.3
91,Julian Edelman,NE,WR,184.7
92,Justin Herbert,LAC,QB,182.2
93,Kareem Hunt,CLE,RB,180.5
94,James Conner,PIT,RB,180.5
95,Diontae Johnson,PIT,WR,178.7
96,Christian Kirk,ARI,WR,177
97,D'Andre Swift,DET,RB,175.9
98,Devin Singletary,BUF,RB,175.8
99,Golden Tate,NYG,WR,175.5
100,Preston Williams,MIA,WR,174.6
101,Jonathan Taylor,IND,RB,174.4
102,Tarik Cohen,CHI,RB,173.7
103,David Montgomery,CHI,RB,172.2
104,Brandin Cooks,HOU,WR,170.6
